unit,time,engagement_mean,mood_mean,offset,laughter_start,laughter_duration,type_colour,mood1,mood2,mood3,eng1,eng2,eng3,utterance
165,02:45,5,4.6,59.57%,0,-20,,4,5,5,4,6,5,"<p><strong>V1:</strong> so we should have these as, we should have good communication, just write"
168,02:48,5,4,60.65%,0,-20,,4,4,4,4,5,6,"<p><strong>V5:</strong> are we going to write down somewhere what these are?
</p><p><strong>V2:</strong> no
</p><p><strong>V1:</strong> it's collapsed now
</p><p><strong>V4:</strong> yeah "
175,02:55,4,4,63.18%,0,-20,,4,4,4,4,4,4,"<p><strong>V2:</strong> I suppose good-ish
</p><p><strong>V1:</strong> yeah, good-ish "
183,03:03,4,4.3,66.06%,0,-20,,4,5,4,3,5,4,"<p><strong>V2:</strong> quick thing about power, I just want to ask you about power there.
</p><p><strong>V1:</strong> yup
</p><p><strong>V2:</strong> was that two-way communication?    or did you have to go to R, or.. ? "
196,03:16,5.6,4.3,70.76%,0,-20,,4,4,5,5,6,6,"<p><strong>V1:</strong> I don't know, there were some very weird communications between Regenerate and Locality, all very very weird
</p><p><strong>V2:</strong> well why don't you use red for weird communication?
</p><p><strong>V1:</strong> ok "
206,03:26,4.6,4.6,74.37%,0,-20,,3,5,6,4,5,5,"<p><strong>V5:</strong> can we write down somewhere what these communications are? cos its... it is saying how were they significant
</p><p><strong>V4:</strong> just put weird
</p><p><strong>V2:</strong> we're going to write it on it, yea "
216,03:36,5.6,5,77.98%,0,-20,,5,6,4,5,6,6,"<p><strong>V3:</strong> there was a lot of a power struggle in between the two, in between Locality and Regenerate
</p><p><strong>V2:</strong> this is money, it's not communication is it...
</p><p><strong>V1:</strong> ok "
222,03:42,5.3,5,80.14%,0,-20,,4,5,6,5,5,6,"<p><strong>V4:</strong> at what point then do the hosts come in, this bottom band?
</p><p><strong>V5:</strong> right yes, let's go with that
</p><p><strong>V1:</strong> the power the power struggle between the community organisers and the local hosts
</p><p><strong>V2:</strong> so let's have weird power struggle
</p><p><strong>V3:</strong> it can be positive, can be positive support, but it was also power struggles going on
</p><p><strong>V2:</strong> yup "
241,04:01,5.3,5,87.00%,0,-20,,4,5,6,4,6,6,"<p><strong>V3:</strong> I would add a power struggle here between Locality and Regenerate
</p><p><strong>V1:</strong> yup yup yes you add that, come on let's just get on with it
</p><p><strong>V5:</strong> I don't know about this, these connections
</p><p><strong>V1:</strong> there's definitely a power struggle with Community Organisers and Regenerate
</p><p><strong>V3:</strong> yeah "
252,04:12,4.6,4,90.97%,0,-20,,4,5,3,5,5,4,Silence
258,04:18,5.6,5.3,93.14%,0,-20,,5,5,6,5,7,5,"<p><strong>V2:</strong> I'm going to say that the government holds ALL the power, I don't know if you all agree. I've just put that because in the end they withdrew the money, so...
</p><p><strong>V1:</strong> yup yup
</p><p><strong>V5:</strong> and also at the beginning they decided where to put the money
</p><p><strong>V2:</strong> who, where, how, yeah
</p><p><strong>V3:</strong> if you equate power with money, yes I agree
</p><p><strong>V2:</strong> so yes, so we could have more conversations about that ...  "
277,04:37,4.6,4,100%,0,-20,,4,4,4,4,4,6,"<p><strong>V4:</strong> so who was involved with the Community Organisers then? obviously CR but also ... well the um, well obviously these guys
</p><p><strong>V2:</strong> the COs were totally connected there
</p><p><strong>V4:</strong> yesss, so volunteers really, they were only connected to the Community Organisers? as their first point of contact, their only point of contact?
</p><p><strong>V3:</strong> as far as my knowledge goes "
